id,quarter,month,date,total_storage,volumes_digitised,images_digitised,digitised_size,volumes_uploaded,images_uploaded,image_storage_size,not_volumes,not_images,not_storage_size,volume_master,images_master,master_on_viewer,storage_master,estimated_storage_on_viwer,volumes_goobi,images_goobi,upload_goobi,storaged_used
19,second,jun,2026-06-12,64,1352.0,259166.0,5131.5,146.0,150505.0,77.44,58.0,18407.0,3.28,150.0,93459.0,204.0,68.55,961.17,0.19,0.16,8.75,2.16
20,second,jun,2026-06-19,64,1437.0,257913.0,5508.45,130.0,157459.0,79.73,56.0,18401.0,3.28,159.0,104074.0,219.0,72.21,1029.27,0.19,0.17,0.0,2.24
21,second,jun,2026-06-26,64,1400.0,249399.0,4150.62,98.0,160822.0,75.28,56.0,18469.0,3.29,169.0,112833.0,231.0,75.8,1067.49,0.19,0.19,10.01,2.37
22,third,jul,2026-07-03,64,1537.0,251753.0,4381.83,87.0,162809.0,78.67,53.0,18393.0,3.3,182.0,120718.0,243.0,80.99,1057.97,0.2,0.19,10.49,2.51
23,third,jul,2026-07-10,64,817.0,258999.0,7133.67,64.0,165313.0,79.46,61.0,18400.0,3.31,207.0,134562.0,255.0,89.3,1084.16,0.21,0.21,15.36,2.58
24,third,jul,2026-07-17,64,1039.0,258289.0,4891.97,57.0,173114.0,79.97,58.0,18411.0,3.31,219.0,130996.0,291.0,91.79,1079.87,0.22,0.21,14.9,2.61
25,third,jul,2026-07-24,64,1467.0,248138.0,9711.48,82.0,187406.0,81.48,53.0,18562.0,3.31,190.0,157958.0,328.0,90.73,1034.98,0.22,0.2,19.09,2.69
26,third,jul,2026-07-31,64,1268.0,249560.0,11348.04,83.0,189484.0,87.67,53.0,18645.0,3.32,196.0,146463.0,305.0,90.94,1092.44,0.22,0.21,20.48,2.65
27,third,aug,2026-08-07,64,1040.0,252585.0,11152.1,41.0,191277.0,87.87,50.0,18682.0,3.32,203.0,142708.0,325.0,91.11,1235.03,0.23,0.21,38.85,2.69
28,third,aug,2026-08-14,64,1018.0,260574.0,5993.85,0.0,193187.0,90.43,51.0,18660.0,3.4,191.0,191257.0,393.0,90.35,1215.95,0.36,0.23,36.34,2.63
29,third,aug,2026-08-21,64,963.0,260632.0,5920.79,0.0,193612.0,90.44,51.0,18661.0,3.4,191.0,191479.0,393.0,90.51,1218.29,0.36,0.23,36.53,2.63
30,third,aug,2026-08-28,64,1008.0,260878.0,5902.63,1.0,193664.0,90.38,51.0,18661.0,3.4,192.0,191919.0,393.0,90.58,1208.8,0.36,0.23,36.32,2.62
31,third,sep,2026-09-04,64,968.0,256368.0,7648.02,0.0,191941.0,86.91,51.0,18606.0,3.41,168.0,197543.0,390.0,90.28,1083.91,0.37,0.22,44.63,2.88
32,third,sep,2026-09-11,64,1951.0,259709.0,6122.23,0.0,192523.0,91.94,55.0,18614.0,3.42,174.0,193459.0,418.0,92.34,1121.5,0.37,0.23,44.19,2.93
33,third,sep,2026-09-18,64,970.0,261293.0,7997.3,0.0,194582.0,93.11,52.0,18665.0,3.48,184.0,200289.0,418.0,95.72,1172.33,0.38,0.23,42.13,2.75
34,third,sep,2026-09-25,64,974.0,261302.0,8220.58,0.0,195266.0,93.18,52.0,18661.0,3.48,184.0,200434.0,418.0,95.79,1172.62,0.38,0.23,42.25,2.76
35,fourth,oct,2026-10-02,64,1034.0,260221.0,7491.21,2.0,190827.0,90.88,53.0,18667.0,3.51,194.0,180919.0,435.0,92.08,1186.61,0.37,0.2,36.05,2.81
36,fourth,oct,2026-10-09,64,1378.0,261188.0,10941.75,0.0,200009.0,92.6,55.0,18695.0,3.58,196.0,185604.0,443.0,85.34,1168.45,0.37,0.17,46.28,2.87
37,fourth,oct,2026-10-16,64,1190.0,270446.0,13721.86,0.0,203972.0,93.47,56.0,18704.0,3.59,204.0,186013.0,449.0,82.64,1139.66,0.35,0.18,48.03,2.9
38,fourth,oct,2026-10-23,64,655.0,267851.0,10771.69,8.0,207173.0,94.77,60.0,18734.0,3.65,183.0,195086.0,469.0,84.51,1101.9,0.33,0.18,46.81,2.93
39,fourth,oct,2026-10-30,64,509.0,269581.0,9695.7,10.0,203945.0,95.39,60.0,18757.0,3.69,189.0,196425.0,483.0,88.26,983.35,0.35,0.18,41.72,3.0
40,fourth,nov,2026-11-06,64,1337.0,266882.0,10236.62,0.0,202436.0,103.81,62.0,18690.0,3.66,196.0,188539.0,480.0,91.11,889.03,0.35,0.18,38.27,3.04
41,fourth,nov,2026-11-13,64,1316.0,264098.0,11050.82,6.0,207282.0,103.19,62.0,18691.0,3.71,203.0,193418.0,485.0,91.82,793.96,0.33,0.19,37.75,3.03
42,fourth,nov,2026-11-20,64,1640.0,255441.0,11044.32,8.0,216891.0,109.12,63.0,18731.0,3.76,160.0,180683.0,463.0,98.22,784.26,0.34,0.19,37.99,3.02
43,fourth,nov,2026-11-27,64,1219.0,255602.0,13924.54,0.0,217233.0,108.45,55.0,18758.0,3.75,167.0,184829.0,478.0,106.7,1055.2,0.34,0.19,48.98,3.17
44,fourth,dec,2026-12-04,64,460.0,256501.0,14016.92,0.0,219926.0,107.06,48.0,18753.0,3.77,173.0,186521.0,485.0,106.84,927.93,0.34,0.2,57.78,3.31
45,fourth,dec,2026-12-11,64,0.0,250967.0,13823.25,21.0,218205.0,107.8,45.0,18757.0,3.8,169.0,189130.0,476.0,106.47,1118.38,0.36,0.19,62.4,3.31
46,fourth,dec,2026-12-18,64,1249.0,257531.0,14440.69,77.0,223887.0,108.83,47.0,18762.0,3.78,158.0,188728.0,482.0,107.93,1334.89,0.37,0.17,58.51,3.14
47,fourth,dec,2026-12-25,64,1796.0,257893.0,15558.51,11.0,214779.0,109.43,44.0,18813.0,3.79,163.0,191216.0,491.0,113.11,1336.07,0.41,0.19,56.54,3.33
48,first,jan,2027-01-01,64,2757.0,256690.0,13981.16,31.0,226137.0,109.98,50.0,18821.0,3.8,164.0,189008.0,469.0,114.32,1296.48,0.4,0.19,53.31,3.26
49,first,jan,2027-01-08,64,2812.0,261243.0,14604.76,40.0,227407.0,108.7,49.0,18755.0,3.86,173.0,191576.0,495.0,117.52,1369.37,0.4,0.17,43.62,3.18
50,first,jan,2027-01-15,64,3047.0,272545.0,15854.86,61.0,228552.0,109.1,48.0,18771.0,3.88,196.0,196594.0,505.0,111.83,1449.56,0.4,0.16,37.17,3.19
51,first,jan,2027-01-22,64,3593.0,283698.0,14166.18,51.0,235302.0,108.57,47.0,18874.0,3.88,202.0,212612.0,495.0,115.67,1490.18,0.36,0.14,40.31,3.22
52,first,jan,2027-01-29,64,3611.0,283737.0,13751.17,51.0,235295.0,108.61,47.0,18874.0,3.88,202.0,212630.0,495.0,115.73,1489.43,0.35,0.14,40.32,3.22
53,first,feb,2027-02-05,64,3914.0,283745.0,14707.56,74.0,239234.0,109.76,45.0,18879.0,3.9,211.0,217963.0,513.0,111.9,1491.47,0.36,0.14,49.23,3.22
54,first,feb,2027-02-12,64,7920.0,285067.0,14856.68,38.0,240739.0,112.0,43.0,18857.0,3.93,179.0,218350.0,513.0,127.16,1478.94,0.36,0.13,49.11,3.3
55,first,feb,2027-02-19,64,6392.0,278461.0,21420.47,45.0,246652.0,121.46,50.0,18994.0,3.97,269.0,309558.0,628.0,150.92,1215.62,0.54,0.13,50.01,3.51
56,first,feb,2027-02-26,64,6712.0,279683.0,23204.73,40.0,249912.0,120.75,48.0,18939.0,4.0,270.0,313351.0,641.0,148.5,1213.89,0.54,0.13,48.98,3.53
57,first,mar,2027-03-05,64,6799.0,286431.0,24504.48,2.0,253022.0,120.34,47.0,18945.0,3.93,282.0,313885.0,671.0,150.79,1414.39,0.55,0.14,48.11,3.55
58,first,mar,2027-03-12,64,6811.0,286412.0,24498.92,2.0,254036.0,120.46,47.0,18945.0,3.93,282.0,314125.0,671.0,150.93,1411.59,0.55,0.14,48.21,3.57
59,first,mar,2027-03-19,64,6243.0,288685.0,23056.31,1.0,255284.0,123.75,50.0,18931.0,3.93,296.0,325617.0,686.0,154.48,1411.96,0.53,0.14,39.26,3.65
60,first,mar,2027-03-26,64,7362.0,293186.0,23611.36,7.0,256385.0,123.99,52.0,18932.0,3.92,272.0,324106.0,690.0,157.05,1413.86,0.55,0.15,34.53,3.59
61,second,apr,2027-04-02,64,7443.0,288989.0,22899.13,10.0,259395.0,127.95,51.0,18974.0,3.93,266.0,329095.0,716.0,164.11,1241.5,0.55,0.16,34.79,3.55
62,second,apr,2027-04-09,64,7628.0,284242.0,22635.3,0.0,264147.0,127.1,50.0,18965.0,3.82,279.0,345724.0,724.0,161.01,1248.56,0.55,0.17,34.22,3.58
63,second,apr,2027-04-16,64,7868.0,293363.0,22989.52,0.0,266758.0,130.99,50.0,18999.0,3.82,283.0,343319.0,756.0,165.0,1342.09,0.54,0.21,34.2,3.65
64,second,apr,2027-04-23,64,7731.0,292701.0,21123.15,39.0,275679.0,132.3,49.0,19005.0,3.79,286.0,347904.0,761.0,162.8,1195.01,0.53,0.21,32.43,3.65
65,second,apr,2027-04-30,64,7925.0,292760.0,19224.74,22.0,277805.0,137.18,48.0,18923.0,3.8,294.0,355108.0,773.0,167.39,1246.03,0.51,0.23,25.03,3.7
66,second,may,2027-05-07,64,7567.0,285814.0,20898.79,0.0,281285.0,138.03,49.0,18976.0,3.83,308.0,361368.0,765.0,164.11,1303.41,0.51,0.24,11.33,3.74
67,second,may,2027-05-14,64,8172.0,297919.0,21621.03,13.0,286523.0,143.27,56.0,18994.0,3.81,421.0,381300.0,859.0,164.22,1109.39,0.46,0.24,9.41,3.77
68,second,may,2027-05-21,64,8998.0,300502.0,21525.81,0.0,287988.0,148.32,59.0,19048.0,3.84,428.0,399523.0,872.0,170.22,1098.6,0.44,0.23,11.41,3.8
69,second,may,2027-05-28,64,9015.0,308924.0,22084.42,0.0,289968.0,149.45,59.0,19059.0,3.87,444.0,401212.0,858.0,170.83,1125.46,0.42,0.23,5.01,3.78
70,second,jun,2027-06-04,64,9454.0,310983.0,23030.44,0.0,293355.0,147.33,61.0,19120.0,3.89,466.0,412729.0,904.0,173.81,1121.35,0.4,0.24,4.46,3.85
71,second,jun,2027-06-11,64,9748.0,311676.0,29211.86,1.0,303512.0,150.31,61.0,19200.0,3.91,476.0,407509.0,914.0,176.91,1118.48,0.39,0.24,8.19,3.86
72,second,jun,2027-06-18,64,9564.0,304235.0,30799.41,0.0,298211.0,154.82,60.0,19134.0,3.89,471.0,402423.0,910.0,176.36,1032.35,0.38,0.22,6.7,3.83
73,second,jun,2027-06-25,64,10049.0,309155.0,30506.48,0.0,300565.0,159.65,62.0,19205.0,3.93,481.0,398988.0,946.0,183.67,1067.49,0.37,0.22,11.76,3.84
74,third,jul,2027-07-02,64,8470.0,337357.0,24730.92,98.0,274284.0,168.17,63.0,19401.0,3.86,622.0,460132.0,1093.0,202.83,580.3,0.46,0.23,0.0,4.55
75,third,jul,2027-07-09,64,8637.0,326688.0,25700.44,147.0,279284.0,170.14,65.0,19436.0,3.89,647.0,462747.0,1096.0,205.26,504.98,0.47,0.23,8.06,4.59
76,third,jul,2027-07-16,64,8884.0,336590.0,24616.85,108.0,281084.0,170.43,64.0,19488.0,3.88,645.0,468010.0,1137.0,209.4,419.32,0.48,0.23,5.75,4.69
77,third,jul,2027-07-23,64,9060.0,331314.0,25613.46,114.0,286483.0,171.41,64.0,19523.0,3.81,666.0,469678.0,1157.0,211.45,422.67,0.48,0.24,5.46,4.81
78,third,jul,2027-07-30,64,9487.0,354280.0,25740.85,115.0,286845.0,174.95,65.0,19529.0,3.81,675.0,467322.0,1175.0,215.98,441.22,0.48,0.23,4.23,4.99
79,third,aug,2027-08-06,64,9499.0,355241.0,26984.43,162.0,280826.0,174.06,66.0,19532.0,3.81,681.0,474494.0,1204.0,224.35,450.9,0.47,0.25,0.0,5.03
80,third,aug,2027-08-13,64,10063.0,361749.0,26967.67,174.0,282215.0,174.7,69.0,19587.0,3.81,692.0,483614.0,1211.0,226.36,416.01,0.51,0.25,0.0,5.1
81,third,aug,2027-08-20,64,9046.0,362062.0,26402.51,201.0,287441.0,176.03,63.0,19602.0,3.8,699.0,491627.0,1216.0,229.65,192.14,0.51,0.25,0.0,5.12
82,third,aug,2027-08-27,64,9850.0,366440.0,26078.35,196.0,298530.0,179.52,63.0,19611.0,3.81,710.0,497457.0,1226.0,232.71,112.05,0.5,0.25,0.0,5.13
83,third,sep,2027-09-03,64,10387.0,368869.0,24947.34,196.0,307102.0,178.22,69.0,19622.0,3.77,720.0,495895.0,1231.0,239.62,174.38,0.51,0.25,0.0,5.18
84,third,sep,2027-09-10,64,9544.0,375307.0,20622.58,189.0,298317.0,177.79,57.0,19602.0,3.8,712.0,483389.0,1225.0,229.54,267.26,0.52,0.23,0.0,5.19
85,third,sep,2027-09-17,64,9726.0,377275.0,21740.05,145.0,301168.0,177.88,58.0,19608.0,3.79,704.0,498697.0,1249.0,232.94,380.2,0.53,0.23,0.0,5.18
86,third,sep,2027-09-24,64,9876.0,377540.0,22229.99,147.0,305818.0,179.2,59.0,19640.0,3.87,707.0,496039.0,1241.0,243.65,386.29,0.53,0.24,5.78,5.01
87,fourth,oct,2027-10-01,64,9874.0,380449.0,22112.67,149.0,303675.0,180.02,55.0,19643.0,3.89,719.0,497367.0,1245.0,247.85,392.76,0.57,0.23,0.0,5.0
88,fourth,oct,2027-10-08,64,10324.0,387703.0,22086.48,182.0,313556.0,181.12,52.0,19714.0,3.9,715.0,503734.0,1252.0,250.53,446.57,0.54,0.2,0.0,5.1
89,fourth,oct,2027-10-15,64,10006.0,390988.0,21992.53,197.0,311172.0,180.06,51.0,19642.0,3.9,684.0,496884.0,1251.0,246.68,171.8,0.57,0.19,0.0,5.02
90,fourth,oct,2027-10-22,64,10769.0,394706.0,21357.32,209.0,309791.0,181.74,52.0,19758.0,3.9,697.0,506635.0,1279.0,253.12,183.86,0.58,0.18,0.0,5.08
91,fourth,oct,2027-10-29,64,10889.0,402330.0,23431.64,202.0,315016.0,177.87,51.0,19728.0,3.91,717.0,508964.0,1292.0,254.58,87.42,0.55,0.2,5.76,4.98
92,fourth,nov,2027-11-05,64,11242.0,404258.0,18730.68,256.0,322748.0,183.43,55.0,19724.0,3.89,724.0,518335.0,1318.0,257.36,102.51,0.53,0.21,3.77,5.01
93,fourth,nov,2027-11-12,64,11249.0,413743.0,18842.78,266.0,324284.0,184.29,57.0,19736.0,3.92,729.0,521271.0,1348.0,257.95,132.92,0.52,0.21,0.0,5.05
94,fourth,nov,2027-11-19,64,11386.0,403231.0,17539.25,319.0,326769.0,189.78,55.0,19744.0,3.9,754.0,533170.0,1351.0,256.79,226.45,0.52,0.21,27.13,5.02
95,fourth,nov,2027-11-26,64,11969.0,401059.0,17365.73,241.0,327035.0,190.8,57.0,19744.0,3.92,767.0,542081.0,1343.0,256.85,105.88,0.5,0.22,33.31,5.07
96,fourth,dec,2027-12-03,64,12285.0,400956.0,15702.64,277.0,328610.0,192.53,60.0,19758.0,3.91,802.0,542976.0,1363.0,258.83,123.93,0.52,0.24,37.25,5.26
97,fourth,dec,2027-12-10,64,12242.0,404512.0,13828.27,355.0,343799.0,193.39,63.0,19754.0,3.92,824.0,539014.0,1352.0,264.53,110.55,0.52,0.23,36.2,5.29
98,fourth,dec,2027-12-17,64,12369.0,404191.0,13826.03,372.0,342996.0,191.36,53.0,19630.0,3.79,822.0,540962.0,1374.0,259.24,0.0,0.52,0.22,19.45,5.25
99,fourth,dec,2027-12-24,64,11980.0,402577.0,15577.77,396.0,343643.0,191.16,56.0,19666.0,3.82,820.0,529655.0,1393.0,258.92,38.93,0.51,0.22,18.45,5.35
100,fourth,dec,2027-12-31,64,11875.0,391951.0,15278.98,411.0,341470.0,192.07,52.0,19657.0,3.83,799.0,533408.0,1382.0,252.99,44.19,0.56,0.22,16.39,5.46
101,first,jan,2028-01-07,64,11843.0,394417.0,18132.51,297.0,346544.0,189.9,55.0,19677.0,3.85,803.0,528513.0,1421.0,253.93,214.78,0.58,0.24,15.95,5.31
102,first,jan,2028-01-14,64,12759.0,402166.0,17194.09,316.0,346347.0,191.11,55.0,19694.0,3.81,803.0,532781.0,1437.0,257.68,210.14,0.6,0.24,19.34,5.35
103,first,jan,2028-01-21,64,12818.0,408215.0,15306.08,274.0,351934.0,192.96,56.0,19604.0,3.77,805.0,536838.0,1446.0,262.87,34.28,0.6,0.24,33.82,5.25
104,first,jan,2028-01-28,64,12921.0,409703.0,11598.21,276.0,348910.0,192.2,56.0,19617.0,3.78,814.0,540704.0,1460.0,267.49,45.48,0.59,0.25,34.01,5.33
105,first,feb,2028-02-04,64,14221.0,411933.0,14209.29,249.0,350165.0,191.86,57.0,19654.0,3.78,818.0,537326.0,1462.0,268.08,68.83,0.62,0.26,32.8,5.36
106,first,feb,2028-02-11,64,14205.0,412050.0,14135.58,249.0,349764.0,191.85,57.0,19654.0,3.78,819.0,537437.0,1462.0,268.07,66.95,0.62,0.26,32.71,5.36
107,first,feb,2028-02-18,64,8970.0,414674.0,20750.92,294.0,383299.0,198.65,68.0,19662.0,3.68,824.0,562318.0,1462.0,272.18,82.13,0.63,0.26,31.18,5.53
108,first,feb,2028-02-25,64,8158.0,410293.0,20642.27,200.0,379099.0,201.01,69.0,19671.0,3.71,827.0,575744.0,1467.0,273.35,29.16,0.63,0.26,25.74,5.57
109,first,mar,2028-03-03,64,8339.0,410625.0,20155.29,198.0,378441.0,197.61,64.0,19658.0,3.75,844.0,581602.0,1464.0,279.38,55.05,0.61,0.26,29.7,5.67
110,first,mar,2028-03-10,64,8353.0,411075.0,20116.8,197.0,378544.0,197.7,64.0,19659.0,3.75,845.0,582127.0,1466.0,279.55,59.92,0.61,0.26,29.08,5.67
111,first,mar,2028-03-17,64,8772.0,408690.0,20167.38,210.0,374661.0,199.11,61.0,19666.0,3.81,825.0,583168.0,1403.0,276.64,78.15,0.58,0.26,43.55,5.92
112,first,mar,2028-03-24,64,8831.0,410327.0,20590.77,233.0,376384.0,197.78,63.0,19696.0,3.83,847.0,571250.0,1420.0,275.47,78.33,0.57,0.27,44.47,5.95
113,first,mar,2028-03-31,64,9672.0,420147.0,23119.89,194.0,375654.0,194.1,63.0,19727.0,3.83,896.0,574879.0,1487.0,289.91,89.87,0.59,0.29,68.11,5.82
114,second,apr,2028-04-07,64,9562.0,423221.0,23226.68,195.0,373777.0,196.01,65.0,19657.0,3.87,912.0,579900.0,1495.0,294.95,66.77,0.57,0.29,68.19,5.9
115,second,apr,2028-04-14,64,9537.0,423223.0,23130.64,196.0,374358.0,196.4,65.0,19657.0,3.87,913.0,580166.0,1496.0,295.05,66.48,0.57,0.29,68.51,5.89
116,second,apr,2028-04-21,64,9818.0,423558.0,25141.69,199.0,375184.0,195.45,64.0,19687.0,3.91,903.0,581012.0,1501.0,299.38,70.86,0.52,0.29,61.3,6.11
117,second,apr,2028-04-28,64,9917.0,421042.0,27129.65,178.0,378377.0,196.13,64.0,19719.0,3.97,917.0,582811.0,1513.0,296.82,42.96,0.52,0.3,58.18,6.16
118,second,may,2028-05-05,64,9542.0,426874.0,26903.03,200.0,383575.0,196.39,62.0,19716.0,3.89,930.0,589100.0,1524.0,300.56,195.28,0.52,0.3,57.67,6.25
119,second,may,2028-05-12,64,9487.0,427330.0,26894.84,200.0,383695.0,196.43,62.0,19717.0,3.89,930.0,589256.0,1526.0,300.9,196.9,0.52,0.3,57.58,6.25
120,second,may,2028-05-19,64,11285.0,428972.0,26684.25,229.0,386887.0,197.07,63.0,19778.0,3.91,927.0,597334.0,1541.0,302.32,199.78,0.52,0.31,61.57,6.47
121,second,may,2028-05-26,64,11497.0,436869.0,25893.54,219.0,393490.0,202.0,64.0,19767.0,3.92,957.0,597701.0,1546.0,305.55,223.36,0.51,0.33,62.02,6.51
122,second,jun,2028-06-02,64,11607.0,443703.0,25575.8,229.0,391110.0,202.72,67.0,19782.0,3.91,958.0,610958.0,1562.0,308.99,311.47,0.52,0.34,68.83,6.56
123,second,jun,2028-06-09,64,12034.0,452033.0,26812.29,231.0,369743.0,202.32,69.0,19830.0,3.94,970.0,608100.0,1559.0,328.13,317.69,0.53,0.34,64.72,6.56
124,second,jun,2028-06-16,64,12346.0,458490.0,28795.24,250.0,372189.0,204.65,70.0,19814.0,3.93,984.0,623141.0,1538.0,328.35,342.93,0.53,0.34,70.3,6.57
125,second,jun,2028-06-23,64,11730.0,454966.0,29281.7,262.0,373788.0,206.85,70.0,19869.0,3.91,1008.0,623902.0,1562.0,333.66,335.63,0.53,0.34,63.13,6.58
126,second,jun,2028-06-30,64,11753.0,454944.0,29272.5,261.0,373889.0,206.68,70.0,19871.0,3.91,1008.0,623916.0,1565.0,333.95,334.17,0.53,0.34,62.52,6.59
127,third,jul,2028-07-07,64,11594.0,453338.0,28520.83,341.0,376265.0,197.26,55.0,19861.0,3.93,1011.0,636813.0,1607.0,335.67,326.04,0.54,0.35,61.73,6.61
128,third,jul,2028-07-14,64,11295.0,454471.0,21102.41,333.0,381778.0,198.15,58.0,19836.0,3.94,1033.0,645646.0,1633.0,343.82,379.1,0.54,0.32,60.84,6.61
129,third,jul,2028-07-21,64,11424.0,454197.0,21312.69,308.0,383881.0,199.91,60.0,19873.0,3.95,1032.0,658082.0,1650.0,344.85,587.63,0.54,0.33,60.24,6.64
130,third,jul,2028-07-28,64,11155.0,456391.0,19330.6,280.0,384011.0,201.02,67.0,19909.0,3.97,1052.0,645935.0,1630.0,347.33,671.92,0.55,0.33,64.23,6.61
131,third,aug,2028-08-04,64,11101.0,455736.0,19805.11,298.0,370655.0,200.75,66.0,19877.0,4.03,1016.0,670074.0,1640.0,338.97,673.7,0.55,0.32,93.9,6.53
132,third,aug,2028-08-11,64,11157.0,456883.0,19566.96,299.0,370883.0,200.82,66.0,19877.0,4.03,1015.0,670708.0,1639.0,339.02,673.33,0.55,0.32,94.04,6.52
133,third,aug,2028-08-18,64,11330.0,459574.0,20156.41,291.0,371989.0,200.21,67.0,19883.0,4.03,1015.0,677673.0,1662.0,343.59,712.6,0.54,0.34,93.18,6.49
134,third,aug,2028-08-25,64,11749.0,471403.0,19526.91,299.0,374498.0,203.68,69.0,19867.0,4.04,1033.0,687280.0,1673.0,346.13,563.72,0.54,0.33,93.73,6.56
135,third,sep,2028-09-01,64,12020.0,460758.0,19796.53,288.0,376803.0,204.22,70.0,19858.0,4.01,1026.0,689751.0,1682.0,348.41,543.86,0.51,0.33,85.58,6.6
136,third,sep,2028-09-08,64,12332.0,461386.0,21412.01,271.0,379248.0,204.13,72.0,19874.0,3.98,1049.0,696162.0,1692.0,357.94,531.17,0.51,0.34,84.54,6.65
137,third,sep,2028-09-15,64,12562.0,447461.0,21281.56,275.0,382234.0,205.89,72.0,19881.0,3.99,1061.0,697747.0,1698.0,365.65,610.81,0.49,0.32,76.91,6.69
138,third,sep,2028-09-22,64,12620.0,451604.0,23415.4,209.0,382942.0,205.16,73.0,19887.0,3.97,1075.0,697666.0,1691.0,368.15,603.43,0.5,0.33,74.86,6.79
139,third,sep,2028-09-29,64,12502.0,462893.0,23018.85,209.0,382963.0,199.0,80.0,19884.0,3.89,1031.0,669520.0,1689.0,357.98,602.94,0.51,0.32,76.41,7.06
140,fourth,oct,2028-10-06,64,12537.0,463151.0,22856.8,222.0,375792.0,204.29,88.0,19889.0,3.9,1053.0,674585.0,1668.0,360.67,566.16,0.51,0.33,83.32,7.22
141,fourth,oct,2028-10-13,64,13242.0,474925.0,21661.9,257.0,376705.0,204.59,91.0,19883.0,3.87,1068.0,668611.0,1679.0,360.62,576.38,0.5,0.33,87.84,7.29
142,fourth,oct,2028-10-20,64,13239.0,475094.0,21686.52,258.0,376778.0,204.61,91.0,19883.0,3.87,1068.0,669866.0,1679.0,360.62,581.05,0.5,0.33,87.82,7.29
143,fourth,oct,2028-10-27,64,13267.0,475086.0,21598.12,258.0,376369.0,204.64,91.0,19883.0,3.87,1069.0,670034.0,1680.0,360.99,577.78,0.5,0.33,87.74,7.29
144,fourth,nov,2028-11-03,64,13084.0,476362.0,23626.9,295.0,379692.0,204.17,94.0,19921.0,3.87,1080.0,681335.0,1718.0,363.91,686.71,0.51,0.33,82.34,7.13
145,fourth,nov,2028-11-10,64,13929.0,475069.0,22314.57,326.0,378772.0,204.01,94.0,19930.0,3.88,1099.0,687006.0,1713.0,368.13,692.06,0.5,0.34,90.97,7.13
146,fourth,nov,2028-11-17,64,13951.0,474498.0,25390.37,285.0,394896.0,225.28,93.0,19829.0,3.86,1057.0,669164.0,1743.0,375.49,722.52,0.5,0.37,81.9,7.17
147,fourth,nov,2028-11-24,64,14684.0,473398.0,28127.88,282.0,394332.0,226.63,94.0,19824.0,3.86,1063.0,657630.0,1763.0,370.07,721.31,0.5,0.35,75.21,7.18
148,fourth,dec,2028-12-01,64,14975.0,473189.0,25860.82,278.0,398758.0,226.33,96.0,19832.0,3.87,1066.0,666440.0,1751.0,375.3,659.7,0.49,0.34,83.34,7.22
149,fourth,dec,2028-12-08,64,15449.0,476338.0,25712.51,292.0,402430.0,221.63,95.0,19817.0,3.85,1061.0,668807.0,1746.0,377.57,647.77,0.51,0.35,85.81,7.12
